text_id,text,target,expected_answer,gpt_answer,correct
25,The city used to be solely focused on shipbuilding in the 1940's and now has completely changed around to a more sustainable one.,one,CITY,CITY,True
26,"It is usually recommended to stream the video to another third-party service in order to have a fallback watch-only streaming, like Youtube, media.ccc.de (open-source platform, preferred) or similar, to unload the main one when it is overloaded.",one,SERVICE,MAIN SERVICE,False
27,"The Muslims, especially among the young people, who are potentially ready to give their lives for the sake of Islamist ideals, will find out that their struggle is not a part of a religious duty but purely an ideological and political one emanating from a dangerous utopia.",one,STRUGGLE,STRUGGLE,True
28,"It was not the usual type of studio he is accustomed to, but certainly the most fascinating one Eugenio ever worked in, with the portraits of William of Malmesbury and other important monks on the windows watching him work!",one,STUDIO,STUDIO,True
29,"By default, acceleration profiles are averaged between the previous event's velocity estimate and the current one.",one,VELOCITY ESTIMATE,ACCELERATION PROFILE,False
30,"Furthermore, restricted variants of logic programs, such as the ones established in this paper, can be directly implemented on top of SQL99-compliant relational databases.",ones,RESTRICTED VARIANTS,RESTRICTED VARIANTS OF LOGIC PROGRAMS,False
31,"The server determines how many video commercials to insert, selects the proper in-points in the video stream for inserting the commercials, and selects the ones that match the user's interest profile and the content profile.",ones,COMMERCIALS,VIDEO COMMERCIALS,False
32,"Don't forget that there are 30+ sites in the network and you get over 5,300 scenes with new ones added to the collection every day.",ones,SCENES,SCENES,True
33,There are several extraction patterns which could be potentially used to characterize users' clippings such as the ones described in Section 3.2.,ones,PATTERNS,EXTRACTION PATTERNS,False
34,"For example, in our educational environment some simulators have user interfaces not fully compatible with the ones in the SimulNet components, where similar commands are accessed in different ways.",ones,USER INTERFACES,USER INTERFACES,True
35,"When serving a document upon its request, if the document contains a hyperlink pointing to a replicated document, the DC-Apache system replaces the hyperlink in the document with the one generated at the service time, based on the global load information.",one,HYPERLINK,HYPERLINK,True
36,"For convenience, we shall refer to the entity providing content information as the ''feeder'' and the one injecting requests as the ''seeker''.",one,ENTITY,ENTITY INJECTING REQUESTS,False
37,The method of identifying the relationship amongst composite objects is the same as the one for primitive objects.,one,METHOD,METHOD,True
38,Electroacoustic mediation frequently takes the form of establishing a surrogate relationship (e.g. the stimulating companion of rush-hour radio) that substitutes for the real one which is lacking. ,one,RELATIONSHIP,RELATIONSHIP,True
39,"But then, the group has a natural meaning - each symbol set has its own group and changing it means selecting a different one.",one,GROUP,SYMBOL SET,False
40,"Conservative columnist Ross Douthat suggested that many Trump supporters preferred ""the older narrative"" of U.S. history, the one that glorified Columbus, the Pilgrims, the Founding Fathers, Lewis and Clark, and Davy Crockett. ",one,NARRATIVE,NARRATIVE,True
41,"We understand that the decision to put your business online can be a daunting one and because of this we will work closely with you at every stage of the process, keeping you fully informed and involved.",one,DECISION,DECISION,True
42,"The Science Gallery Dublin and curatorial team welcome proposals that highlight, investigate and test these systems, or offer alternative ones for an uncertain future.",ones,SYSTEMS,SYSTEMS,True
43,"We use the same counting methodologies (see below) for almost every demonstration that takes place in Dublin, from huge anti water charges protests to smaller but still significant ones on a huge range of issues.",ones,PROTESTS,DEMONSTRATIONS,False
44,"Eighty years have passed since the publication in the pages of the Russian anarchist monthly Delo Truda of the Organizational Platform of the General Union of Anarchists (Draft), but the question of anarchist organization remains an open one even today, a question which sparks off ferocious debates with frightening ease.",one,QUESTION,QUESTION,True
45,"AAU's activities have expanded to span newer commodity sectors such as soil health card, bio-diesel, medicinal plants apart from the mandatory ones like rice, maize, tobacco, vegetable crops, fruit crops, forage crops, animal breeding, nutrition and dairy products etc.",ones,COMMODITY SECTORS,MANDATORY ACTIVITIES,False
46,"Our experimental results show that, figures computed by our metrics are, in about an order of magnitude, smaller than the respective ones of GKM, an indication that our techniques are more elaborate.",ones,FIGURES,FIGURES,True
47,"If you bake in tin-patties, butter them, and you must put a little crust all over, because of the taking them out; if in china, or glass, no crust but the top one.",one,CRUST,CRUST,True
48,"The story has inspired countless writers, dramatists and composers ever since, but the first major stage version of the story in England is this one by Shakespeare's contemporary Christopher Marlowe (1564-93).",one,VERSION,STAGE VERSION,False
49,"His most illustrious contemporaries in philosophy–Bertrand Russell, G.E. Moore, the early Wittgenstein, and the members of the Vienna Circle–sought to logically analyze sentences so that the true ones would mirror a world independent of us.",ones,SENTENCES,SENTENCES,True
50,"The arms package includes a Terminal High Altitude Area Defense (THAAD) missile defense system from Lockheed Martin, similar to the one being made operational in South Korea, which costs around $1 billion, Reuters reported earlier, citing unnamed sources within the administration.",one,DEFENSE SYSTEM,THAAD MISSILE DEFENSE SYSTEM,False
51,"I quickly realised, for example, that the Library was not receiving books released by certain publishers – including some British ones which, in theory, should automatically be delivered to the Library via legal deposit. ",ones,PUBLISHERS,PUBLISHERS,True
52,"The possibility of an alliance between these workers and the sugarcane cultivators, hitherto very inadequately mobilised against the threat, has become a real one.",one,POSSIBILITY,POSSIBILITY,True
53,"Note: To publish a link to the page other than the current one, you shall specify additional information (title, description and a link to display an image) manually.",one,PAGE,PAGE,True
54,"RT's article used the same 4:12 min video that was made available to all other news outlets, the same one published by Australia's Daily Telegraph.",one,VIDEO,VIDEO,True
55,"Following RT's demand for retraction, RFE/RL eventually removed the first claim from their article, but refused to change the second one, even though it is obviously false.",one,CLAIM,CLAIM,True
56,"In some cases, a regional tollroads authority collects the tolls and uses them to construct new roads and maintain the existing ones.",ones,ROADS,ROADS,True
57,"Look at this more recent story about the other interview, the one that Boston College has already given to the DOJ (because of the death of the interviewee): ""In the testimony, Mr Hughes, a former Belfast IRA commander, accuses Gerry Adams, the Sinn Fein president, of sanctioning the secret burial of the mother-of-10 in 1972.""",one,INTERVIEW,INTERVIEW,True
58,"Since the pinblock is built into the piano, and all of the strings and the plate need to be removed to install a new one, it is of the highest priority that the finest materials be used.",one,PINBLOCK,PINBLOCK,True
59,"And just as the soundscape can be listened to as if it were music, or at least organised sound, so too can electroacoustic music be listened to as if it were a soundscape, even if an imaginary one.",one,SOUNDSCAPE,SOUNDSCAPE,True
60, The financial health of the private railroads deteriorated after the first lines were extended and new ones built.,ones,LINES,LINES,True
61,"Part of the reason those on the left are a bit paranoid now, aside from the fact The Other Side is in power now, is that the mainstream media has by and large failed to aggressively follow up on the many potential 'conspiracies' of this administration, as well as the very real conspiracies against the last one.",one,ADMINISTRATION,ADMINISTRATION,True
62,"Mr. Weeks as well as Judge Cristol allege that this was not the case, but their statements go against the accounts give by every single one of the survivors (including the Jewish ones - which I bring up in so far as Mr. Weeks has accused the survivors of having ulterior motives). ",ones,SURVIVORS,SURVIVORS,True
63,"With this metaphor of healthy athletic competition, he highlights the value of life, comparing it to a race not only for an earthly, passing goal, but for an eternal one.",one,GOAL,GOAL,True
64,"Also it was the reason of such political actions like occupation of Iran and Iraq, winning the Arabs and Jews against each other, evacuation of the Polish troops from the USSR to the Middle East - just to name few of them; most important ones and having their consequences even nowadays.",ones,ACTIONS,ACTIONS,True
65,"For example, Web views can be used as basic building blocks for personal portals such as the ones provided by mynetscape.com.",ones,PERSONAL PORTALS,PERSONAL PORTALS,True
66,"However, they have not signed their names, as is often the case in medieval manuscripts, especially Hebrew ones.",ones,MANUSCRIPTS,MANUSCRIPTS,True
67,"Given how weak a choice it is, Rumsfeld is making the comparison as a propoganda tool, to suggest that the situation in Iraq is basically a good one and headed in a good direction.",one,SITUATION,SITUATION,True
68,Accept the new offer by the 'Reply Date' if you prefer this course to the one that you have already accepted - this action automatically cancels your previous acceptance.,one,COURSE,COURSE,True
69,"The inclusion of policy makers in this education plan is not an obvious element, but nonetheless a crucial one.",one,ELEMENT,ELEMENT,True
70,"It seems to me that if we hope to improve student knowledge of history, we should insist that future teachers of U.S. history be expected to demonstrate their knowledge of the subject before they teach it, by taking and passing a subject-matter test no less rigorous than the one that the students must take to graduate from high school.",one,TEST,SUBJECT-MATTER TEST,False
71,I agree with Jonathan that the discussion about this article is a separate one from that going on over on my blog.,one,DISCUSSION,DISCUSSION,True
72,"The belief that buying stocks somehow, ipso facto, constitutes investment, without reference to what the money gets spent on, is a theological proposition, rather than an empirical one.",one,PROPOSITION,PROPOSITION,True
73,"They want us to decide: Do we or don't we want to know the percentage of gmos in supermarket products, do we or don't we accept gm crops next to conventional ones, do we or don't we like cloning, pesticides, family programming, cosmetic surgery etc etc?",ones,CROPS,CROPS,True
74,"The NLM's historical collections also include items from the present day: born-digital materials and rich data sets–like the millions of records in its IndexCat database–that are ripe for exploration through traditional research methods and new ones that are emerging in the current climate of ""big data"" and the digital humanities.",ones,RESEARCH METHODS,RESEARCH METHODS,True
75,"Does anyone know of a multidisciplinary website with critical reviews of books, especially popular ones?",ones,BOOKS,BOOKS,True
76,Truly popular and successful presidents would have no difficulty meeting these challenges; marginal ones would get the hint and enable a viable new candidate to step up.,ones,PRESIDENTS,PRESIDENTS,True
77,"Poke spots are basically the new Duane Reades in terms of their saturation on Manhattan streets now, so we don't usually call out most of the new ones.",ones,POKE SPOTS,POKE SPOTS,True
78,I can attest to Mr. Hagedorn's suggestion that those historians who hold more conservative views (or even liberal ones but supported the war) were cautioned by elder faculty members who also held those views to stay discretely silent if they wanted to be sure of getting tenure.,ones,VIEWS,VIEWS,True
79,Under the existing translations policy each language community has the option to translate some or all of the English language stories or to develop entirely new ones in order to maximize the identification of addicts seeking recovery in that culture. ,ones,STORIES,STORIES,True
80,The cascade defines an ordered sequence of style sheets where rules in later sheets have greater precedence than earlier ones.,ones,SHEETS,STYLE SHEETS,False
81,"Lou-Shu's father seems to've installed a whole array of these pumps and was using them, not only to irrigate existing fields, but also to open up new ones.",ones,FIELDS,FIELDS,True
82,"But, according to these theories, what we ought to desire by way of fundamental moral rules is in the end a matter of which rules we would choose under certain idealized and depersonalized conditions in which we suspend our deepest convictions in order to imagine ourselves with very different ones.",ones,CONVICTIONS,CONVICTIONS,True
83,Although the basis for the current negotiations between Israel and the Arabs is that the conflict is not a religious dispute but rather a political one.,one,DISPUTE,POLITICAL DISPUTE,False
84,"For, I believe, the very first time I began the last Circle with a theme in mind for the next one!",one,CIRCLE,CIRCLE,True
85,"The ICA President stressed out this conference is a landmark in ICA history as it is the first one in Africa, and encouraged EB representatives to widely publicize it to their members and networks.",one,CONFERENCE,CONFERENCE,True
86,"Launched in 2014, it allows students to choose a reusable plastic clamshell, with reusable cutlery, instead of a disposable one when getting takeout from university residences.",one,CLAMSHELL,DISPOSABLE CLAMSHELL,False
87,I hope that these pages reflect this love and make your visit to our small piece of cyberspace an enjoyable one!,one,VISIT,VISIT,True
88,"Can you try adding the same cert in the new key database, if it gets added into that then you would be clear that the cert exists in the older one!",one,(KEY) DATABASE,KEY DATABASE,False
89,Every single time there's a scene in a movie where a woman gets the upper hand over some idiot male in her life (the one that comes to mind is Bridget...),one,SCENE,BRIDGET,False
90,"I don't have to know what the book is about, I don't need to see the cover, they're the two authors I just buy no questions asked (and then I spend ages hoarding the book knowing that once it's read it will be between a year and two until the next one!)",one,BOOK,BOOK,True
91,They had to complete 10 beginning thumbnail sketches and then merge ideas to create 4 new ones based on their first sketches.,ones,SKETCHES,SKETCHES,True
92,"Extended mass layoff events in establishments located in FEMA-designated disaster areas of Alabama, Florida, Louisiana, and Mississippi are the only ones that might be directly affected by Hurricane Katrina and the subsequent flooding, and thus be coded with a primary reason of weather-related.",ones,LAYOFF EVENTS,EXTENDED MASS LAYOFF EVENTS,False
93,"While larger numbers are very exciting, in truth there are some days that the smaller pages are more responsive and drive the same amount of traffic as the larger ones do.",ones,PAGES,LARGER PAGES,False
94,"Older family-owned companies not only have more established business models than younger ones, but will also have a greater number of younger family-owned members associated with the firm.",ones,COMPANIES,FAMILY-OWNED COMPANIES,False
95,"Then due to some complaints from Canadian viewers who felt deprived of the American adverts, the Canadian Radio-television and Telecommunications Commission ruled that Bell could not substitute adverts from domestic companies to replace American ones.",ones,ADVERTS,AMERICAN ADVERTS,False
96,"""The reason why this even came up was there's families that have two people in a house and other ones that have six or eight, also now with secondary suites, maybe you need a larger cart,"" he said.",ones,FAMILIES,FAMILIES,True
97,"Partly in response to such concerns, and despite the recent decline in world mineral prices, governments are continuing to press for reviews of old contracts and to be more demanding in negotiations for new ones.",ones,CONTRACTS,CONTRACTS,True
98,"""Please hold on to your cherished memories of past Folk Fests and know you will create new ones when we're able to do it safely – singing along to our favourite tunes with friends and family, dancing under the warm sun and seeing a crowd of smiling faces.""",ones,MEMORIES,MEMORIES,True
99,The program requires 70 units in MBB-related courses and 52 units in BUS-related ones; there is little flexibility in curriculum scheduling.,ones,COURSES,BUS-RELATED COURSES,False
100,"Nevertheless, blast hole with higher Q value will provide high energy that causes ground vibration and air overpressure to nearer monitoring points (residential areas) compared to the further ones.",ones,POINTS,MONITORING POINTS,False
101,"In Table 4, 5, the left three columns are topic models extracted without prior knowledge, and the right columns are those extracted with the bold titles as priors. We see that the topics extracted in either way are informative and coherent. The ones extracted with priors are extremely clear and distinctive, such as ''Nano'' and ''battery'' for the query ''iPod''.",ones,TOPICS,TOPICS,True
102,"According to the relevancy of images to the given keywords, we divide images into two groups: images in group A are highly relevant to the keywords, and others are classified into group B. The possibility that images in group A are relevant is high, so that we use them as training data of a SVM classifier in the next stage, although they includes a small number of irrelevant ones.",ones,IMAGES,IMAGES,True
103,"We use the term semantic interoperability in the sense of translating between different ontology languages with different semantics. At the moment, several ontology languages populate the Semantic Web. Besides proprietary ones, we already mentioned RDFS, OWL Lite, OWL DL and OWL Full before. ",ones,ONTOLOGY LANGUAGES,ONTOLOGY LANGUAGES,True
104,"There is a high degree of subjectivity in many of the LOM data elements. This is sometimes perceived as a problem, but it is the opinion of the authors that there is no need to avoid subjectivity in the descriptions of LO's; in fact, the subjective metadata are often among the more interesting ones. ",ones,LOM DATA ELEMENTS,METADATA,False
105,"With that in place, it was easy to code the events needed in the library and start playing with them. I attempted to get the project building on Windows last week, but had little success. I don't know what the difference was tonight, but things went very smoothly, and the library builds cleanly on Windows with no code changes. After that, I decided to have a play with some form builders. Through a scientific process (look at the list on the wxWidgets Wiki, exclude the ones that weren't open source), I came to wxFormBuilder, which seems pretty nifty. ",ones,FORM BUILDERS,FORM BUILDERS,True
106,"Alright Lad's/Ladies, Do any of you know any Good sites for getting football kits? My company are competing in the Engineers league and the kit we have in a few years old (With the Old company Logo). We got a fresh set of jerseys only yesterday, we got ours from o'neills, 17 jerseys, 2 GK, kitbag and a set of bibs for €600, very good quality. We never said we were playing soccer, but they never asked either! The ones I found on Ebay are from Thailand, one of teh lad's on Shelsweb say's he got them from ebay and there good quality.",ones,JERSEYS,THE ONES FROM EBAY,False
107,"The second day in Barcelona I met the spintop collectors club ""Amics de la Baldufa"" = ""Friends of the Spintop."" If you have not yet seen their excellent site, check it out. They started in the spring of 1996, have organized lots of events and have published more than 24 issues of their very informative magazine. More big tops! These ones are working copies of a throw top, a finger top and a whip top.",ones,TOPS,BIG TOPS,False
108,"Some of the links to your various photo albums don't work. The Ofoto site says that the ""album is not found"" I thought I'd give you a heads up! I enjoy your cute pics and want to see the rest! Jenny's 30th Birthday Party Sarah's Pool Party Second Annual Academy Awards Party, I don't know if any else didn't work. Those were the ones that I tried and it said Album Not Found.",ones,LINKS,LINKS,True
109,"<Q> Larger drawings–such as those in this show–are found by working directly onto the paper in graphite or ink. What's the relationship between the figures you render and real people? That is, do your figures often begin with observations of real people or are they more imaginative? <A> No, there is rarely any connection to real people. I have done the occasional portrait, though, and lots of self-portraits. <Q> In one interview, you said that every successful drawing you do surprises you in some way. It makes me wonder if you do much that you deem to be unsuccessful. <A> Oh, yes of course! The ones that don't surprise me go straight in the bin!",ones,DRAWINGS,DRAWINGS,True
110,Can you measure the voltage drop across the terminals? That would give us an idea of id it is just diodes or if there is something else going on in there...the pins are heavy duty suckers! The ones in the middle seem to be thinner... ,ones,PINS,PINS,True
111,"The stories range from nature-based solutions to financial investments, from small community initiatives to large global programmes, from policy change to behaviour change. They explore the role of leadership, integrity and innovation from various stakeholder perspectives. The Water ChangeMaker Awards is a journey of knowledge, communication, and collaboration with like-minded people. Embark with us on this adventure and connect with those who have inspired you! The ones that have been submitted in languages other than English have been translated and the original submitting language can be found by selecting LANGUAGE on the language tab below. ",ones,STORIES,STORIES,True
112,"Once sunned, you can bring the squashes (and pumpkins) in for the winter. They don't like to be damp or cold so the cellar is not the right place for them. They like the dry air here and it's also best if they don't touch each other. Most of them will last well into spring but, if they start to decompose, I can grab them and cook them up right away (or feed them to my chickens). Not only are these items delicious, but they are good for you as well. Oh for sure-I buy a load of them each fall. I set them outdoors under cover in a basket. Most of them keep really well! The ones uneaten will dry and harden.",ones,SQUASHES,SQUASHES AND PUMPKINS,False
113,"The audio is an extract from Henry Mayhew's London Labour and the London Poor, 1851. Read from 'Of the Cries, Rounds, and Days of Costermongders' from London Labour and the London Poor, by Henry Mayhew, 1851: I shall now proceed to treat of the London costermongers' mode of doing business. In the first place all the goods they sell are cried or ""hawked,"" and the cries of the coster-mongers in the present day are as varied as the articles they sell. The principal ones, uttered in a sort of cadence, are now, ""Ni-ew mackerel, 6 a shilling.""",ones,CRIES,CRIES,True
114,"Eminem whose real name is Marshall Mathers has written much music and performed at many concerts. He touches beautifully on the whole idea of seizing or loosing a moment of opportunity. Every day presents us with many of these moments. We may say that so many of these come together, we cannot choose. This may be so but the ones of meaningful value usually tend to stand out.",ones,MOMENTS,MOMENTS OF MEANINGFUL VALUE,False
115,"In the more distant future we plan to include a component that allows Semantic Interoperability between different types of ontology languages as a response to the requirement put forward in section 4. In the introduction, we already mentioned RDFS, OWL Lite, OWL DL and OWL Full. Besides, there are older formats, like DAML+OIL and also proprietary ones like KAON ontologies.",ones,FORMATS,FORMATS,True
116,"The lenses of his mask are raised (like goggles), and there are bumps on his thumbs representing the small claws he has on his fingers. The stock photo on the back of the box clearly shows him with a claw on his toe and tabi boots, but the final product has plain feet. Superior Spider-Man comes with something no Hasbro Spider-Man has come with before: interchangeable hands! The ones he's wearing in the package are curled, ""accessory-holding"" hands (though he has no accessories to hold), while the replacements are in a webshooting pose; the hands just pull out at the wrist, popping in and out with no trouble. ",ones,HANDS,HANDS,True
117,"The show now has a title: Metropolis. I have been out and about sketching again: some pine trees, which will be needed for my children's book to be, and a couple of new rock sketches. I do enjoy sketching rocks, but I always wonder if anyone besides me can discern what they are supposed to represent? Rocks are not very well defined shapes, for the most part. At least, those scraggly weathered volcanic rocks we have on the New Zealand coast, aren't! These ones are from Cape Palliser – and at this time of year, they are full of sunbathing seals, and their babies. ",ones,ROCKS,ROCKS,True
118,I didn't like the dull yellow light so replaced all my interior bulbs with white LEDs and what a difference it made! The ones I didn't know how to change at the time was the mirror puddle light/lamp.,ones,BULBS,PUDDLE LIGHT/LAMP,False
119,"Céline, Tibi, Philip Lim and more were all proud supporters of #pantsuitnation and now street stylers are following suit (pun intended). Milan fashion week street style stars are stepping out in bold, matching separates–and they're looking like total bosses doing so. But these aren't any boring old suits! These ones feature stand-out prints like leopard, plaid and cacti (yes, you read that correctly), are made from gorgeous textures like velvet and brocade and have new silhouettes like the oversized style that's major for fall. ",ones,SUITS,SUITS,True
120,And these are used on a TON of GM cars/trucks easily replaced from a parts store and really easy to wire up. I call that a win on all fronts. Here's the other side.. I would also like to point out that me being a pack rat paid off again.. I found these buckets with unbroken tabs in my pile! The ones I removed were held in by RTV.,ones,BUCKETS,BUCKETS,True
121,"WARNING: if you mess with TWO neodymium supermagnets, you are bound to pinch your fingers if you let them come together. This REALLY HURTS, it's like pliers. Also, you should wear safety glasses, since when two NIB magnets slam together, they tend to launch tiny chips at high velocities. I've had 3/4"" magnets acidentally fall together and be completely shattered. The things are brittle! The ones larger than 1/4"" are NOT FOR UNSUPERVISED CHILDREN!",ones,MAGNETS,NEODYMIUM SUPERMAGNETS,False
122,"Don't go out in public until you're wearing your signature glitter. Buy some fishnet stockings. They are funky and hot. Wear them with a denim skirt and a T-shirt for a funky, casual look! Buy some colorful tights and cut up to the mid-calf, and you've got yourself a pair of leggings! Wear them with a giant T-shirt or a dress! Buy colorful, outrageous hair accessories. Colorful headbands, funky hair ties with tassels, etc. Wear earrings! Those ones with the rubber spikes are definitely funky. ",ones,EARRINGS,EARRINGS,True
123,"Currently have grip shift and like it on that bike. If some has some that are newer I would be interested in buying. I suppose I might be able to put an eight speed cassette on the wheel and upgrade to eight speed shifters also. In case anyone has stuff cheap for me to go that route. Would consider trigger shifters at the right price also. I am going to splurge and buy brand new brake pads though! Current ones seem weak, things just don't last anymore. ",ones,BRAKE PADS,BRAKE PADS,True
124,"It is pretty obvious that Calc is designed to compete with Excel - it works very similarly, can save in Excel's "".xls"" format and even the logos look alike. In general, Calc works pretty well. Most of the features found in Excel work the same way in Calc. Most of the keyboard shortcuts are also the same, although not all of them! The ones that are different are easy to find by trial and error, but it does mean that there is a learning curve to using Calc after years of using Excel.",ones,SHORTCUTS,KEYBOARD SHORTCUTS,False
125,"Granted, it was just the first town and my impressions could change once I go on to higher level towns, but at least so far, this class just kicks butt -- perhaps too much butt. I'll need other people to tell me if that changes later on. Stealth seems SUPER powerful. This is the first town I've actually run out of quests for! Optional ones too! ",ones,QUESTS,QUESTS,True
126,This problem can be solved by having the server return a partially filled form anytime it receive a request whose file parameters content is not present.The user can then execute the operation by simply confirming the presented form.  A particularly simple one would use the proposed data: protocol name.,one,FORM,FORM,True
127,"One possible implementation of this metainformation structuring is to extend HTML, for example, by appending such information to relevant HTML tags or even inserting specific comment blocks (of some clever marks) into HTML documents. The advantage and disadvantage of this approach are obvious: no separate description method is needed; but HTML specification needs to be extended, and existing Web pages to be rewritten. The other one, which we choose, is to define a separate, specific, XML-based language, with the sole purpose for efficient resource transmission, which should be a very simple markup language (as simple as possible).",one,IMPLEMENTATION,IMPLEMENTATION,True
128,A common solution is based on native application and data installed on client device. Such an approach doesn't require any Internet connection: all data has been stored locally on the device before the trip. Another one is based on a web application: the user connects to a web site which provides a form-based interface.,one,SOLUTION,SOLUTION,True
129,"In this episode British Library curator Polly Russell joins forces with illustrator and club-night founder Flo Perry to explore how lesbians and queer women have partied, socialised and come together since the 70s. Polly and Flo are heading back to the 80s to get a sense of lesbian nightlife then, with club promoter Yvonne Taylor. There'll also be lots of metaphorical partying in some of the hottest queer nights happening pre-pandemic – Tabitha Benjamin's Butch, Please and Xandice Armah's Gal Pals. Get your glad rags on, it's going to be a wild one.",one,PARTYING,EPISODE,False
130,"Quick thoughts on each band I saw before I go to bed. Spazzys: Really, really ordinary. I caught the latter part of their set while moseying around the main stage, and it did little to suggest that they're anything other than a second-rate Ramones tribute girlband. Birds of Tokyo: Went to this one not quite knowing what was going to happen, since I'd only heard Off Kilter. ",one,SET,BIRDS OF TOKYO,False
131,"Since it was the opening of the second US leg of the tour, Paul gave Bono the legendary bottle of champagne to signify a special show. It was magical and I have not experienced a show like it since, even after seeing them 7 more times! This one stands out. ",one,SHOW,SHOW,True
132,"I am a sucker for a charity shop/thrift store (usually in Edinburgh for the Fringe festival) but given I'm often in a rush running to another show or wearing some sort of complicated dungarees/boiler suit, I love having a tape measure so I can check out whether something might fit or not and then take a punt on it. If it doesn't fit it'll get recirculated to another charity shop as soon as possible and hopefully the lifecycle will continue! This one is a strong fibre glass make from China picked up from my local sewing shop.",one,TAPE MEASURE,TAPE MEASURE,True
133,"Then, another for September 1958, when we actually started our Senior year. Here also, I'll do an end-of-year (1958) write-up with whatever nostalgic reminiscences I can come up with. And that leaves the Travel Log. I held fast on that one and did zero updates to the Travel Log in 2008. Here again, it's probably of interest to me (and maybe to you and a few others) to talk about RVing in 2008.",one,TRAVEL LOG,TRAVEL LOG,True
134,"The fact that this is linking to some DSL customer of AT&T means that we have YET another computer that has been secretly infected by spyware. When I retrieved the HTML for this page with wget, I see that this one is serving out a file called video.exe.",one,COMPUTER,COMPUTER,True
