text_id,human_text,human_acc
18,"As reported by Colonel Voinescu, the conservative memoirist, the ""ridiculous parody"" was entirely organized by ""a Greek man, namely C. Aristia"". Voinescu muses: ""What should we call such an act? Which nation has ever set fire to its own laws before even making herself some new ones! but there is some consolation in the knowledge that the chief leader of this display was a Greek.""",1.0
19,"Bulat, the main character, demobilizes and comes back to his loved Kazakhstan. Bulat loves the vast steppe, dusks and dawns. He loves this whole world. He is a former sailor who served with the Pacific Fleet, and he wishes to become a shepherd. And he will become one! But there is a problem: in order to get the flock of sheep he must be married. And there is only one girl around for many kilometers. But what a girl she is! And her name is Tulpan.",1.0
20,"At Christmas 1894, the Munshi sent Lord Elgin a sentimental greeting card, which to Victoria's dismay went unacknowledged. Through Frederick Ponsonby, she complained to Elgin, who replied that he did ""not imagine that any acknowledgement was necessary, or that the Queen would expect him to send one"", pointing out ""how impossible it would be for an Indian Viceroy to enter into correspondence of this kind"". Frederick wrote to Elgin in January 1895 that Karim was deeply unpopular in the Household, and that he occupied ""very much the same position as John Brown used to"". ",1.0
21,"Prime Minister David Ben-Gurion had decided on the importance of renaming in the area earlier in the year, writing in his diary in July: ""We must give Hebrew names to these places – ancient names, if there are, and if not, new ones!""; he subsequently established the committee's objectives with a letter to the chairman of the committee.",1.0
22,"On 12 February 1917, Kroll was awarded the Iron Cross First Class. It was about this time that Kroll wrote about the difficulty of confirming victories: ""It is difficult to get confirmation of a victory–especially the first one! It must be confirmed by our own ground troops ... this is even more difficult if hazy conditions prevail.""",1.0
23,"Maybe it's time to go public with the 'great and the good' who caused heartache and misery to so many gay people? … I am sick to death of RTE now being the benign channel of acceptance of homosexuality when it was a bastion of creaking, ancient codes. It was fine to be a woman Director at RTE….just not a GAY one! Once they found out I was a big Gayer, RTE wasn't that happy about having me on screen or on public forums ….",1.0
24,"From there, the masks went into a vulcanization oven where they would be baked and come out hard. But I dug my nails into the nose-pieces while they were still soft, so that when they came out, nobody would be able to breathe while wearing one! For that I was sentenced to the bunker: the prison within the concentration camp.",1.0
25,"After moving to Hong Kong, she began an affair with Charles Boxer, the local head of British army intelligence. According to a December 1944 Time article, Hahn decided that she needed the steadying influence of a baby, but doubted if she could have one.",1.0
26,"""High Fidelity"" was released as the second single from Get Happy!! after ""I Can't Stand Up for Falling Down."" The single's B-side featured a version of Betty Everett's ""Getting Mighty Crowded"" recorded during the Get Happy!! sessions as well as an early, slower version of ""Clowntime Is Over."" The release of the single was accompanied by a music video, of which Costello said, ""Nice dance routine with this one!"" The single was a modest commercial success in the UK, reaching number 30 on the UK Singles Chart over a stay of five weeks. ",0.6666666666666666
27,"Notable features included a windowing system allowing multiple simultaneous 3d views - including exterior views of the aircraft itself - and (on the Amiga and Atari ST) modem play. Info gave the Amiga version five out of five, describing it as the ""finest incarnation"". Praising the ""superb"" graphics, the magazine advised to ""BEGIN your game collection with this one!""",1.0
28,"Game five was most of the way across the country in East Lansing, Michigan. The Beavers' opponent was the Michigan Aggies, who had pummeled the Michigan Wolverines 24–0 in Ann Arbor the week before. Coupled with a train ride spanning two-thirds of the country without the ability to practice, the odds of a Beaver victory seemed slim. Roscoe Fawcett of Portland's Morning Oregonian set the odds at around zero, when he wrote, ""One thing is very certain, and that is the Corvallis boys are due for a trimming...and a bad one!""",1.0
29,"Empress Dowager was pleased and made him a censor. On one occasion, she was set to award a house to Hou that was seized from a person accused of treason. Hou declined and stated, ""I hate treasonous individuals, and I do not want a house from one!"" She was further impressed.",1.0
30,"On 31 March 2010, Teresa Jusino of Popmatters expressed the view that English-speaking music fans no longer remember Selena's name, saying that on playing ""Dreaming of You"" or ""I Could Fall in Love"", many would say ""I remember that song!"" or ""I love that one!"". Randi Bergman of Fashion magazine, called the number an ""epic ballad"".",0.6666666666666666
31,"Gaurav Malani of IndiaTimes rated the movie 3/5 and said, ""If you hate love stories this one's certainly not for you. Which means this ends up being another love story and that too a dull one!” Nikhat Kazmi of Times of India also praised the lead performances, but found the plot predictable and rated the movie 3/5 saying, ""Thematically, I Hate Luv Storys is extremely simplistic, uni-layered and terribly predictable.""",1.0
32,"In a small town of the Russian Empire during the 19th century reign mores typical of that time. The mayor and the other officials take bribes, embezzle public money, drink and play cards, while idly discussing the latest town gossip. But soon alarming news arrives – a stern government inspector from St. Petersburg has been sent to the city, and even worse, a plain-clothed one!",1.0
33,"The people rushed to arms. Now I have to trudge there through the snow with [lac.] cohorts. You’ll remark that the Domitii are coming to grief all along the line. Well, I could wish our scion of Venus had shown as much spirit in dealing with your Domitius as Psecas' offspring showed with this one!",0.0
34,"Based upon their ages, heightened responsibilities and increased level of maturity, the group had a slightly different perspective than the norm for typical fraternity members. It was this perspective from which they established the Fraternity's purpose, ""The development and perpetuation of Scholarship, Leadership, Citizenship, Fidelity, and Brotherhood among Men."" Additionally, they conceived the Fraternity's motto, ""Building a Tradition, Not Resting Upon One!"". While the Greek mythological creature, the Centaur, has a well known public meaning, a beloved alternate description of the Centaur is known only by initiated members of the fraternity.",1.0
35,"Proceed at reduced speed (30 km/h) and with caution towards a buffer stop, an occupied track, or a red signal at abnormally reduced distance (350–600 meters). Unlike other ""reduced speed"" aspects, this signal is always preceded by a single yellow signal and not a ""reduce to 30 km/h"" one!",1.0
36,"In social policy, Durnovo's tenure in office saw a reduction of working hours in 1897. Durnovo was not known, however, for his innovations, but rather for following his predecessor's policies. His abilities were summarized by his staff in a pun, ""Не нашли хорошего, назначили Дурново"" (They could not find a good minister, so they have appointed a bad [durnogo = Durnovo] one!""). Durnovo was blamed by later researchers for failing to take decisive actions to handle the Russian famine of 1891–92.",1.0
37,"Brownsword was later controversially dismissed from his coaching role at the club prior to the 1973–74 Fourth Division campaign, however. ""I did feel a bit bitter when I got the bullet. Nobody ever told me why I was sacked, but my understanding was that a coach had written to the club asking if there were any vacancies and I created one! I was exceptionally disappointed that I was dispensed with in this way after all the service.""",1.0
38,"Ball 3, strike 1 on Cunningham... Here's the pitch... Strike 2! (Wrigley Field crowd roars) ... Cunningham's arguing now... he's back here barkin' at Tony Venzon, the plate umpire... he's really sore... he is really peeved at that strike two, that was called... One more pitch could end it... You know what kind of a pitch we're hopin' for: The dark one! Blow it past him Don! ...",0.6666666666666666
39,"Chennai Online wrote ""The problem with the film is that the director doesn't seem to have quite made up his mind whether his narrative style should be a light-hearted one or serious. So it meanders somewhere between the two and ends in a confused amalgam of emotions, with neither the humour nor the intensity really touching one!""",1.0
40,"After two years of working for U.T., Truchard realized that there was little room for promotion unless one of his coworkers retired. As he often remarks, he ""didn't see a job I wanted [in Austin] - so I created one!"" Working with colleagues Jeff Kodosky and Bill Nowlin, Truchard was part of a project conducting research for the U.S. Navy that allowed them to use early computer technology to collect and analyze data.",1.0
41,"The film released on 19 May 2017. Reza Noorani of Times Of India rated movie with 1 star. He writes ""The film is two hours of loud gags with a handful of preachy messages. Watch at your own risk, this one!"". Firstpost criticized the movie saying ""Star rating: * — because there is just one star, Gurmeet Ram Rahim Singh Insaan"".",1.0
42,"Many successful software development projects use timeboxing, especially smaller ones. Adopting timeboxing more than tripled developer productivity at DuPont in the '80s. In some cases, applications were completely delivered within the time estimated to complete just a specification.",1.0
43,"On yet another occasion, he was instructed not to win a selling race by more than a neck, so that connections could buy the horse back cheaply. He won by six lengths, and told an intermediary, ""thou tell him he ought to think himself lucky to win at all, as I saw five winning posts and didn't know which was the right one!” The effect on him was such that he once vowed he would give £5,000 to be able to stop.",1.0
44,"The band chose the image since it was a strong, historic symbol of England. When they presented it to an agent from their American distributor, Epic Records, the executive responded: ""It looks like a duck! If you want a horse, we'll get our artists to draw one!"" The company then offered the group illustrations of a mustang, a bronco, and one of a person in a cartoon caricature of an English village.",1.0
45,"One night after the arrival of the mail we were in his (Buford's) room, when Buford said in his slow and deliberate way ""I got a letter from the Governor of Kentucky. He sent me word to come to Kentucky at once and I shall have anything I want."" With a good deal of anxiety, I (Gibbon) asked ""What did you answer, John?"" And my relief was great when he replied ""I sent him word I was a Captain in the United States Army and I intended to remain one!""",1.0
46,"When Carlson continued to press Stewart on the Kerry issue, Stewart said, ""You're on CNN! The show that leads into me is puppets making crank phone calls! What is wrong with you?"" In response to prods from Carlson, ""Come on. Be funny."" Stewart said, ""No, I'm not going to be your monkey."" Later in the show when Carlson jibed, ""I do think you're more fun on your show"", Stewart retorted, ""You're as big a dick on your show as you are on any show."" In response to Stewart's criticisms, Carlson said, ""You need to get a job at a journalism school"", to which Stewart responded, ""You need to go to one!""",1.0
47,"Archer concluded that while the gameplay ""is not quite intensive or compulsive enough"", Jurassic Park ""sure as hell makes a fine change from the turgid and unimaginative stuff we are used to getting from big licenses. Even Spielberg has said he likes it, and that's a man who knows a success when he sees one!""",1.0
48,"Sify wrote ""To conclude, comparing to Samy's earlier ventures, Kangaroo is a better, family-friendly movie but in general perspective, it's a middling one!"". Deccan Chronicle wrote ""The plot seems interesting, but the way it unfolds in 80s style with mushy melodrama and insipid comedy, the pace suffers during the first half. However, post interval the momentum picks up with few unexpected twists and turns.""",1.0
49,"Surabhi Redkar form Koimoi gave the film 3.5 stars and mentioned, ""Kapoor And Sons is a modern-age family drama. It does not shy away from being emotionally soppy yet convincingly lovable. You could laugh, cry and smile through this one!"". Redkar praised the characters' realistic nature.",0.0
50,"Rather than requiring users to come to the machine to use it, the calculator was provided with three remote keyboards, at various places in the building, in the form of teletypes. Only one could be used at a time, and the output was automatically displayed on the same one. On 9 September 1940, a teletype was set up at a Dartmouth College in Hanover, New Hampshire, with a connection to New York, and those attending the conference could use the machine remotely.",1.0
51,The Governor of the BoG said the impact of COVID-19 on Ghana's economy would be significant for the year 2020 as the disease was a global one. A mining company donated hygiene products to some schools to help keep the teachers and students safe from the coronavirus in the Amansie West and South districts in the Ashanti region.,0.3333333333333333
52,"According to them, Argentine GDP shrank 2.9% in the last quarter of 2008, 1.6% in the first quarter of 2009, and 0.6% in the second one. It's widely known in Argentina that the official statistics office in charge of producing this information, INDEC, is not very reliable for trustworthy statistical information, due to the government's mismanagement of the office.",1.0
53,"Claire Edgley of Computer and Video Games gave the arcade game a positive review in March 1985. She was positively surprised by the ""hard-hitting"" action, the ""very fast"" and ""breath-taking"" pace, and large number of enemies. She also praised the controls, referring to Thomas as ""a whirling, kicking, jumping, fighting machine"" controlled by an eight-way joystick and two buttons, the ""energy levels"" which allow the player to ""absorb a large number of hits"" from enemies, the smooth ""lifelike"" picturesque graphics, and the catchy music jingles. She concluded that if ""you thought that Karate Champ was good — wait 'til you try this one!""",1.0
54,"After the United Kingdom recognised the Franco's regime in 1938, Gibraltar had two Spanish Consulates, a Republican one and a Nationalistic one. Several incidents took place during the Spanish Civil War which affected Gibraltar. In May 1937, HMS Arethusa had to tow HMS Hunter into port after Hunter hit a mine off Almeria that killed and wounded several British sailors.",1.0
55,"Elvira accompanied by her slave Zulma regrets the loss of the love of her husband, the Turkish Bey Mustafà. Left alone with Haly (since the Italian 'h' is silent, this corresponds to the name Ali, more familiar in the English-speaking world), Captain of the Corsairs, Mustafà reveals his plan to marry Elvira off to Lindoro, his Italian slave. The Bey is bored with his submissive harem, desiring a new challenge to his virility: he wants an Italian girl, and Haly must find one!",1.0
56,"“Time Machine is a backup utility, not an archival utility, it is not intended as offline storage. Time Machine captures the most recent state of your data on your disk. As snapshots age, they are prioritized progressively lower compared to your more recent ones.”",1.0
57,"Dr Otter is a very gentle medical children's programme that focuses far more on Flybread's attitude and learning about the community, and each episode deals with a minor moral dilemma, rather than a medical one! ",0.5
58,"The pair were asked if they would ever consider writing an episode with a happy ending. Shearsmith responded by saying ""Yes, because that would be the biggest surprise of all ... But last year we had the Last Gasp, and that had quite a happy ending - and people hated that one!"" Similarly, Pemberton suggested that ""people are disappointed if we don't deliver something horrible"".",1.0
59,"40 Trips Around the Sun contains 14 tracks from 1978 to 1993, and three previously unreleased recordings (""Spanish Sea"", ""Alone"" and ""Struck by Lightning""). ""Spanish Sea"" was recorded during the sessions for Isolation (1984), and was re-written with a new chorus. Steve Lukather said of the song: ""Thanks to modern tech we were able to play once again with not only our 20 something selves but with our dear brothers Jeff and Mike Porcaro reminding us just how deep their groove was. Bittersweet... Many stories, laughs and a few tears on this one"".",1.0
60,"Coincidentally, this occurred at the same time Lucy kicked Linus out of the house, leading her to cry in dismay, to which she said, ""A 'new' baby brother? But I just got rid of the 'old' one!"" She then let him back in stating, ""You can't shovel water with a pitchfork!"" The irony was not lost on Linus, who foolishly mocked her behavior until she gagged him with his own security blanket.",1.0
61,"At the time, the actor had not heard whether his character would be returning, though he later appeared in the first-season finale and five fourth season episodes. Harris described his character as an ""anti-hero who is fighting for the just cause"" and the episode as ""a page-turner... When I read it, I said, 'Ah, this is a fantastic one. I can't wait to see it.' It's directed with a lot of energy, a lot of tension. It's a good one, a really good one"". The episode featured the first of many guest appearances by actor Clark Middleton as the rare bookseller Edward Markham.",1.0
62,"Weissberg also said that ""without the warmth and ironic self-awareness that Paz brings to Miranda, the pic might have been a lesser vehicle, or at least a less absorbing one"". Las Horas Muertas was screened during the 2013 Morelia International Film Festival, where Paz was named Best Actress.",0.6666666666666666
63,"As a normal day of school progresses, Gao and the gang notice something strange going on with Zanya. He is actually talking to girls and dating one! Its gotten to a point that he wants to marry this girl and retire from Buddyfighting?! Is Zanya growing up, or is there another force at play?!",1.0
64,"Diego and Alicia are far away from home for the first time ever! They are on a trip doing some research and animal help in Antarctica, and this trip proves to be a busy one! A little penguin and his name is Pepito the Emperor Penguin and he is lost and cannot find his way to his new school. Diego must help him find where his new school is, and how to get there.",1.0
65,"Buddy is going all out for this brunch bonanza with Italian French Toast, Basil Omelet's and Roasted Rosemary Potatoes with Pancetta. Hit the snooze button, because there's no reason for breakfast with a brunch menu like this one!",1.0
66,"Maria will do anything, and does practically everything, to find her younger brother Tino – a lazy klutz whose only interests are girls and Gilligan's Island– a job at the mall. Because he keeps botching the interviews (even wearing jeans and a red T-shirt to one!), she has to do all the work for him. Even that doesn't help because, if there's a way to get himself fired, he always finds it before the day is up.",0.6666666666666666
67,"When Wild Card creates evil clones of the Guardians, the public no longer trusts the real ones! Can the Guardians defeat the clones and earn back the public’s trust?",1.0
68,Daisy's friend Petunia needs some help making a city garden because she doesn't know how to build one.,1.0
69,"TV Week's Jackie Bryel revealed that the man Carmel sets her sights on is Susan's ex-husband, Karl. Shortly after her arrival, Carmel reveals that she has separated from her husband, Robert, and is ready to find a new relationship. Child told Brygel ""Carmel just breezes in and thinks she'll come and stay with Susan to start a new life in Erinsborough. She gives Susan a little bit of a shock, and not an entirely pleasant one! Carmel is very outgoing, and I don't think she's overly sensitive to the feelings of others.""",1.0
70,"Harris described his character as an ""anti-hero who is fighting for the just cause"" and the episode as ""a page-turner... When I read it, I said, 'Ah, this is a fantastic one. I can't wait to see it.' It's directed with a lot of energy, a lot of tension. It's a good one, a really good one"". The episode featured the first of many guest appearances by actor Clark Middleton as the rare bookseller Edward Markham.",1.0
71,Sweep has an obsession with helicopters and fails miserably to build a model one and fails again when playing with little ones. He is given the opportunity of a lifetime though when he is invited to go up in one! Mathew writes a story at the end of the day and reads it to the guys.,0.3333333333333333
72,"Since the Sliders never determined which Arturo they took in ""Post Traumatic Slide Syndrome,"" it is possible the original Arturo from Earth Prime is still alive, as Rembrandt said at the end of the episode, ""We've got an Arturo and we don't even know which one!"".",1.0
73,Sweep has an obsession with helicopters and fails miserably to build a model one and fails again when playing with little ones. He is given the opportunity of a lifetime though when he is invited to go up in one! Mathew writes a story at the end of the day and reads it to the guys.,1.0
74,"Appalled by the conditions the creature is being kept in, he decides to set it free. But imagine his surprise when he discovers that the ""lug"" is actually a transformed human - and that the money-hungry owners of the truck stop have turned him into a Lug to replace the old one! When the monkey team look for Chiro, he turned. Can they ever get back to normal?",1.0
75,"At approximately 9 p.m., the two drove to Butts' Lakewood apartment as Bonin informed Munro that he, Butts, and others had committed many of the ""Freeway Killer"" murders. At Butts' apartment, the trio engaged in brief conversation before Bonin invited Butts to view Wells' body with the enticement: ""We got it in the van; it's a good one. Come on out and see it.""",1.0
76,"In 1993, Bidelman provided data on 177 known and possible asymptotic giant branch stars, saying he was confident many would ""prove to be interesting and important. Unfortunately, I don't know which ones!” Bidelman's list of high Strömgren c1 index high galactic latitude stars included promising post-AGB candidates to lead to finds of similar objects to better understand the post-AGB sub-groups of stars.",0.6666666666666666
77,"In DC Comics Presents #41, (January 1982), on page 7 of the special Wonder Woman insert, a character identified as ""Liz"" on the previous page, who states that she is a representative of an organization called the Wonder Woman Foundation, explains ""We've been promised full financial backing to promote equality for women everywhere, if we can use your name...and if you'll just wear this charming top from now on, instead of your old one!""",1.0
78,"In Spanish, the words sí 'yes' and no 'no' are unambiguously classified as adverbs: serving as answers to questions and also modifying verbs. The affirmative sí can replace the verb after a negation (Yo no tengo coche, pero él sí = I don't own a car, but he does) or intensify it (I don't believe he owns a car. / He does own one! = No creo que él tenga coche. / ¡Sí lo tiene!). The word no is the standard adverb placed next to a verb to negate it (Yo no tengo coche = I don't own a car).",1.0
79,"The episode received generally positive reviews from critics. The Indiana Daily Student's Brian Welk called the episode ""fairly enjoyable,"" joking that his Facebook status would say that he ""hopes the 200th episode [of South Park] is as good as the Facebook one!"" Tucker of Entertainment Weekly said ""The half-hour was shrewdly precise in its targets: The older audience that communes on Facebook (such as parents and grandparents) as well as lonely kids; as usual, ""South Park"" is merciless when it smells a baby-boomer-adopted trend."" ",1.0
80,"We wondered how many intervals there were in an octave and decided to check it out with these glide tones. They're spread over a long time because we were trying to pick out individual notes. When the duo came across an intriguing interval, they would look at another and comment, ""Hey, listen to that one!""",0.6666666666666666
81,"She's somebody who's a bit off-kilter, who sees the world through a prism most others don't understand. At first Leia thinks she's pleasant but weird, but as time goes on, it becomes apparent that there's much more to Holdo than you might guess when you first met her. We don't really have a lot of true oddballs in Star Wars, so it was fun to introduce one!",1.0
82,"The show featured many, often acclaimed, one-off sketches, like Waitress (popularly known as Two Soups), where Julie Walters plays an elderly deaf waitress who takes an incredibly long time to take an order for two bowls of soup. In 2004, British television network Channel 4 (in a poll conducted on its website) awarded it ""27th Best Comedy Sketch Of All Time"". Walters said ""she [Wood] knows I like playing old women. Why? Because I am one! I love the shape of them.""",1.0
83,"Chris Martin once said that the plagiarism allegations were inspiring him and added: ""If everyone's trying to take away our best song, then we'd better write 25 better ones!""",1.0
84,"Will Champion has also talked about the accusation saying, ""For some reason, God only knows why, the successful songs seem to be the ones that are accused of being stolen.""",1.0
85,"Michael Specter, in a piece for The New York Times in the same year, said Zhirinovsky's ""party is not liberal, not democratic, and these days not much of a party."" A 1995 BBC documentary showed Zhirinovsky telling the crowd at a campaign rally: ""Help us, and you'll never have to vote again! I'm not saying, 'Vote for us and maybe in 20 years' time somebody will do something.' No, these will be the last elections! The last ones!""",1.0
86,"Producer Alex Gordon wanted Peter Lorre who again refused to work with him and then called George Zucco, the star of Voodoo Man, who was too ill to work. With the shooting date drawing near, Tom Conway was chosen, who like Marla English and Paul Dubov, had also been in The She-Creature. Publicity for the film declared ""Not since he starred in The Cat People and I Walked with a Zombie has Tom had a role like his current one!"".",1.0
87,"The opening line of Under the North Star, ""In the beginning there were the swamp, the hoe – and Jussi"", is recognized by most Finns as well as Rokka's famous exclamation, ""Where do you need a real good man, here you have one!"", from The Unknown Soldier. Showcasing the value of his legacy, Linna was pictured on the 20 markkabanknote which was in use from 1993 to the introduction of the Euro.",0.6666666666666666
88,"In 1964, he paid the last of several visits to his beloved Italy. When, in the month of his death, he was given a bedside message from Premier David Brand, announcing that the state government was to name its second university after him, he was able to send an appreciative acceptance. He added, sotto voce, ""it had better be a good one!"" Murdoch died on 30 July 1970, aged 95.",1.0
89,"Dave Brock: ""There was some good stuff on that album. I think we peaked then, in 1974/75."" Simon King: ""I suppose I’m two-thirds happy with this one. For me that’s not bad as I was only half happy with the last one! Warriors is a different musical thing because it’s Simon House’s first real contribution: on Mountain Grill he was too new to be able to have that much influence, and now, of course we’ve got Alan as a second drummer, which has meant a lot of changes.""",1.0
90,"Their second album, Old Grooves for New Streets (2007), received five star reviews in Australia, and a review by America's All About Jazz said, ""Certainly a candidate for Best Release of the Year – I hope lots of ears hear this one!"". In 2009 the group won the Bell Award for Australian Jazz Ensemble of the year. The Sydney Morning Herald observed, ""That these exotic sounds blend so well with jazz is a mysterious Melbourne alchemy"".",0.6666666666666666
91,"Hysteria Lives! awarded the film 2/5 stars: ""All-in-all TO ALL A GOOD NIGHT is the kind of slasher movie the Surrealists would have made if they had been around in the early 80’s; confounding, nonsensical, by turns grindingly dull and startlingly wiggy"". Ian Jane from DVD Talk called the film ""a moderately entertaining low budget horror picture with some fun performances (and some bad ones!) and a decent twist"".",1.0
92,"Aldrich later reflected, ""When you've had a big, big success, people who should know better lose their perspective about your infallibility. Right away it's 'Let's make another one!' Let's go back and buy the first novel of some guy who, ten novels later, wrote a hit. That's ludicrous. You may have better projects, but you can't sell the better projects, you really can't."" ",0.5
93,"So it meanders somewhere between the two and ends in a confused amalgam of emotions, with neither the humour nor the intensity really touching one!",0.5
94,"It's never less than interesting but seldom more than that. A reviewer of Dusty Groove stated: Cassandra Wilson's tribute to Miles Davis – a pretty brave and ambitious move, writing lyrics to classic Miles compositions – and a winning one! Wilson produced the record, too, and her genuine love of the material makes it worth – as does her fairly earthy, timeless production.",0.0
95,"Praising Mammootty's acting, the review concluded: ""It is Mammootty who unleashes a brilliant display of subtle acting. He is not really healthy, not much confident and is scared, as he gets into the shoes of the character of Mani sir. He needs to be applauded for his dedicated performance ... If you are a fan of Mammootty, here is one of his finest performances. Watch this one!"" Neelima Menon wrote for HuffPost that ""Mammootty’s Kind, Vulnerable Policeman Is A Delight.""",1.0
96,"In 2018, Brooke and Taylor engage in a food fight at Hope Logan's (Annika Noelle) wedding to Liam Spencer (Scott Clifton), Steffy's ex-husband. Tylo stated, ""In the past, Taylor’s tried to play into Brooke’s psychology to find any kind of guilty conscious (...) Now, Taylor realizes Brooke doesn’t have one! There’s no trying to get to her because she doesn’t listen to reason. Taylor’s been letting stuff sit and stew for years. She’s not happy and, now, she’s got to vent!""",1.0
97,"Gaurav Malani of IndiaTimes rated the movie 3/5 and said, If you hate love stories this one's certainly not for you.",0.5
98,"The 2015 release in the Tekno and Friends line was a scorpion. Features a sting in the tail (a pretend one!), this aggressive little character has an added level of electronic interaction. Comes with a clever IR hand controller that straps to the users hand, waving movements are translated into 360˚ movements on the Scorpion. Multi-channel operation means that two or more of these fearsome characters can fight each other and battle for victory using their giant pincer hands.",1.0
99,"Snakepit Magazine called it an improvement over the debut: ""... this album by the Alabama-based bunch simply blows away their previous one!"". Heaven's Metal magazine describes the remastered Overlord album as ""... an album that ranks up with the BEST of them"".",1.0
100,"We weren't actually fond of the hard, garage, underground, chemical elements or funeral-like names, so we thought that the best we could do was to choose a name that would've express the idea of free spirit, in all of its aspects, which is why Amsterdams came up really naturally. The is because people had to know that we were those Amsterdams... The only ones!",1.0
101,"When the order is ignored, Finlander runs over the snorkel. Munceford and Schrepke protest that Finlander is forcing the sub to fight, and Finlander orders Ralston to arm an anti-submarine rocket. He reassures Munceford and Schrepke that he will not fire first, but when he says that ""if he fires one, I'll fire one"", the fatigued Ralston just hears ""fire one"" and launches the rocket.",1.0
102,"Pauline Kael of The New Yorker wrote ""If the film wants to be taken as a cautionary fable—another one!—about the ever-present dangers of Nazism, then it should leave viewers with a sense of menace that Mengele's 'boys from Brazil' constitute. Instead, we get Lieberman's fuddy-duddy humanism and vague assurances that the boys are not really dangerous. And this is supposed to be a movie.""",0.5
103,"The worm, having seen none of this, appears from his hole and walks off carefree - until he comes face to beak with the bird. He runs away and attempts to jump back into his home; the bird is waiting in the hole, mouth open. A chase ensues. They pass a billboard advertising the film, ""Mrs. Minimum"" (Mrs. Miniver) and its accompanying cartoon, the very one the bird and the worm are in. The bird says, ""Hey, I hear that's a pretty funny cartoon."" The worm replies, ""Well, I hope it's funnier than this one!"" The chase resumes.",1.0
