text_id,text_corpus,Unnamed: 2,text,target,expected_answer,gpt_answer,correct_GPT,row_id,llama_answer,correct_LLaMA,Gemma_LoRA_answer,correct_Gemma,human_text,human_acc,Item_pred_rating,confounder_pred_rating,target_pred_rating,is_target_biased,is_parallem,diff_pred,is_target_preferred
11,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",Clausal or VP Coordination,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",any,B,B,True,row_7,A,False,B,True,"The announcement that Seaborne Freight had been awarded the contract caused controversy after it was revealed that at the time contract was signed, the company had no ships and had never operated any.",1.0,,,,1,parallel,,1
12,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",Clausal or VP Coordination,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",any,B,B,True,row_7,B,True,B,True,"Privacy minded search engines, such as DuckDuckGo, state in their privacy policies that they collect much less data than search engines such as Google or Yahoo, and may not collect any.",1.0,12.0,5.5,6.5,0,parallel,1.0,1
13,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",Clausal or VP Coordination,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",any,B,B,True,row_7,A,False,B,True,"Featuring John and Gillian as the Second Doctor's companions. Like other TV Comics stories, this has no official title as the original printing did not contain any.",1.0,,,,1,parallel,,1
14,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",non-parallelism,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",any,B,B,True,row_7,A,False,B,True,"An advantage of steganography is plausible deniability, that is, unless one can prove the data is there (which is usually not easy), it is deniable that the file contains any.",1.0,,,,1,non-parallem,,1
15,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Fl√°via's money, Daniel & Liliana didn't receive any.",Contrasting,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",any,A,A,True,row_7,A,True,A,True,"On Day 64, live in the Gala, they pressed the red button. They guessed right and the money was split between all the members of the group. Instead of receiving Flávia's money, Daniel & Liliana didn't receive any.",1.0,,,,1,parallel,,1
16,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",Contrasting,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",any,A,A,True,row_7,A,True,A,True,"Whether there is a meaning or not depends on the individual person: it is possible that a sentence has a meaning according to A, whereas B can't discern any.",1.0,16.0,4.0,5.5,0,parallel,1.5,1
17,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",non-parallelism,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",any,A,A,True,row_7,A,True,A,True,"He appears in All 4 One when he fixes a transport that allows Ratchet and his allies to travel to Uzo City, but when Ratchet asks for some ""cryptic advice"" that can used to stop Nevo, the Plumber admits that he does not have any.",1.0,,,,1,non-parallem,,1
18,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",Contrasting,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",his,B,B,True,row_7,A,False,B,True,"Part-time jobs and jobs in the informal sector do earn less than full-time jobs, so men have to increase their paid work hours in order to compensate for the lacking family income. This will ""weaken her earning power and strengthen his"", leading to an unequal distribution of power in the household, and allow the man to exploit the woman's unpaid work. This situation could have negative consequences especially for the woman because she is perceived to have less contribution to the household, due to domestic work being seen as less of a contribution than paid work.",0.25,,,,1,parallel,,1
19,"Some found comfort in religion; Sherard quotes one as saying: ""when I get to heaven I shall get my reward, and my Oppressor will get his"". Hymn singing while working was common, and the Doxology was a particular favourite.",Clausal or VP Coordination,"Some found comfort in religion; Sherard quotes one as saying: ""when I get to heaven I shall get my reward, and my Oppressor will get his"". Hymn singing while working was common, and the Doxology was a particular favourite.",his,B,A,False,row_7,A,False,A,False,"Some found comfort in religion; Sherard quotes one as saying: ""when I get to heaven I shall get my reward, and my Oppressor will get his"". Hymn singing while working was common, and the Doxology was a particular favourite.",0.6666666666666666,19.0,5.0,5.5,0,parallel,0.5,1
20,"He was employed by the shipping company who owned the ship and was responsible to the company for every aspect of the ship, the profitable trading of the ship, the cargo, the crew and the success or failure of the voyage. Masters with a proven track record often remained with a company for many years and could expect to become wealthy. As new ships were added to a company's fleet a successful and favoured master could expect it to be assigned as ""his"".",non-parallelism,"He was employed by the shipping company who owned the ship and was responsible to the company for every aspect of the ship, the profitable trading of the ship, the cargo, the crew and the success or failure of the voyage. Masters with a proven track record often remained with a company for many years and could expect to become wealthy. As new ships were added to a company's fleet a successful and favoured master could expect it to be assigned as ""his"".",his,A,A,True,row_7,A,True,A,True,"He was employed by the shipping company who owned the ship and was responsible to the company for every aspect of the ship, the profitable trading of the ship, the cargo, the crew and the success or failure of the voyage. Masters with a proven track record often remained with a company for many years and could expect to become wealthy. As new ships were added to a company's fleet a successful and favoured master could expect it to be assigned as ""his"".",0.5,,,,1,non-parallem,,1
21,"Her ability to include period detail and to reproduce the religious beliefs and practices of the period give additional credence to her story, and the character of Pearl is free-spirited enough to strike a chord with modern readers and finished by saying ""pacing parallels that of Hawthorne, and her exploration of behavior as a series of good acts or acts inspired by the Devil is consistent with his"".",Subset,"Her ability to include period detail and to reproduce the religious beliefs and practices of the period give additional credence to her story, and the character of Pearl is free-spirited enough to strike a chord with modern readers and finished by saying ""pacing parallels that of Hawthorne, and her exploration of behavior as a series of good acts or acts inspired by the Devil is consistent with his"".",his,A,A,True,row_7,A,True,A,True,"Her ability to include period detail and to reproduce the religious beliefs and practices of the period give additional credence to her story, and the character of Pearl is free-spirited enough to strike a chord with modern readers and finished by saying ""pacing parallels that of Hawthorne, and her exploration of behavior as a series of good acts or acts inspired by the Devil is consistent with his"".",0.6666666666666666,21.0,3.5,4.75,0,parallel,1.25,1
22,"One was presented to Clapton upon the model's release and was used for three numbers during a concert at the Royal Albert Hall on 17 May 2006. In 1979, Clapton gave his signed Fender Lead II guitar to the Hard Rock Cafe in London to designate his favourite bar stool. Pete Townshend also donated his own Gibson Les Paul guitar, with a note attached: ""Mine's as good as his! Love, Pete"".",non-parallelism,"One was presented to Clapton upon the model's release and was used for three numbers during a concert at the Royal Albert Hall on 17 May 2006. In 1979, Clapton gave his signed Fender Lead II guitar to the Hard Rock Cafe in London to designate his favourite bar stool. Pete Townshend also donated his own Gibson Les Paul guitar, with a note attached: ""Mine's as good as his! Love, Pete"".",his,A,A,True,row_7,A,True,A,True,"One was presented to Clapton upon the model's release and was used for three numbers during a concert at the Royal Albert Hall on 17 May 2006. In 1979, Clapton gave his signed Fender Lead II guitar to the Hard Rock Cafe in London to designate his favourite bar stool. Pete Townshend also donated his own Gibson Les Paul guitar, with a note attached: ""Mine's as good as his! Love, Pete"".",0.6666666666666666,22.0,4.75,4.833333333333333,0,non-parallem,0.08333333333333304,1
23,"Soon after, Margo ran away from Oakdale and Hal married Barbara. Margo came back months later with a child she claimed was hers and Tom's. Ten months later, Hal learned that Adam was actually his! Hal was angry with everyone for keeping this secret.",non-parallelism,"Soon after, Margo ran away from Oakdale and Hal married Barbara. Margo came back months later with a child she claimed was hers and Tom's. Ten months later, Hal learned that Adam was actually his! Hal was angry with everyone for keeping this secret.",Tom's,A,A,True,row_7,A,True,A,True,"Soon after, Margo ran away from Oakdale and Hal married Barbara. Margo came back months later with a child she claimed was hers and Tom's. Ten months later, Hal learned that Adam was actually his! Hal was angry with everyone for keeping this secret.",1.0,,,,1,non-parallem,,1
24,"In 1788 Robert and Jean were finally legally married however Burns was surprisingly reticent about it. Gavin Hamilton's eldest daughter Jacobina or 'Beennie' recollected, how even she only became aware of the marriage at breakfast one day when Burns and Robert Aiken were present and upon apologising to Robert Aiken for the lack of his usual boiled egg Burns said ""if she cared to send over the way to Mrs Burns she might have some"".",non-parallelism,"In 1788 Robert and Jean were finally legally married however Burns was surprisingly reticent about it. Gavin Hamilton's eldest daughter Jacobina or 'Beennie' recollected, how even she only became aware of the marriage at breakfast one day when Burns and Robert Aiken were present and upon apologising to Robert Aiken for the lack of his usual boiled egg Burns said ""if she cared to send over the way to Mrs Burns she might have some"".",some,A,A,True,row_7,A,True,A,True,"In 1788 Robert and Jean were finally legally married however Burns was surprisingly reticent about it. Gavin Hamilton's eldest daughter Jacobina or 'Beennie' recollected, how even she only became aware of the marriage at breakfast one day when Burns and Robert Aiken were present and upon apologising to Robert Aiken for the lack of his usual boiled egg Burns said ""if she cared to send over the way to Mrs Burns she might have some"".",0.6666666666666666,,,,1,non-parallem,,1
25,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",Clausal or VP Coordination,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",some,A,A,True,row_7,A,True,A,True,"The greeting ""a merry Christmas and a happy New Year"" is recorded from the early eighteenth century; however, the history of the carol itself is unclear. Its origin probably lies in the English tradition wherein wealthy people of the community gave Christmas treats to the carolers on Christmas Eve, such as ""figgy pudding"" that was very much like modern-day Christmas puddings; in the West Country of England, ""figgy pudding"" referred to a raisin or plum pudding, not necessarily one containing figs. In the famous version of the song, the singer demands figgy pudding from the audience, threatening to not ""go until we get some"".",0.8333333333333334,25.0,2.1666666666666665,3.75,0,parallel,1.5833333333333335,1
26,"Kesha is ""sentenced to act more like Taylor Swift and start feeling sorry for herself""; Taylor Swift is ""sentenced to enjoy her success while she actually has some""; Dakota Fanning is ""sentenced to go back to being adorable""; Vampire Weekend is ""sentenced to change their name to 'The Jonas Brothers: The Sequel'""; and Lil Wayne is ""sentenced to begin the final descent into obscurity"".",non-parallelism,"Kesha is ""sentenced to act more like Taylor Swift and start feeling sorry for herself""; Taylor Swift is ""sentenced to enjoy her success while she actually has some""; Dakota Fanning is ""sentenced to go back to being adorable""; Vampire Weekend is ""sentenced to change their name to 'The Jonas Brothers: The Sequel'""; and Lil Wayne is ""sentenced to begin the final descent into obscurity"".",some,A,A,True,row_7,A,True,A,True,"Kesha is ""sentenced to act more like Taylor Swift and start feeling sorry for herself""; Taylor Swift is ""sentenced to enjoy her success while she actually has some""; Dakota Fanning is ""sentenced to go back to being adorable""; Vampire Weekend is ""sentenced to change their name to 'The Jonas Brothers: The Sequel'""; and Lil Wayne is ""sentenced to begin the final descent into obscurity"".",1.0,,,,1,non-parallem,,1
27,"Suganth also felt many of the actors like Chowdhury were miscast and criticised the lack of onscreen chemistry between her and Dhruv. He concluded that Dhruv looks ""sure-footed in some scenes and like a novice in some"". Baradwaj Rangan of Film Companion wrote, ""Not a single frame is distinctive, or shows that a major filmmaker is behind the camera.",Repetition,"Suganth also felt many of the actors like Chowdhury were miscast and criticised the lack of onscreen chemistry between her and Dhruv. He concluded that Dhruv looks ""sure-footed in some scenes and like a novice in some"". Baradwaj Rangan of Film Companion wrote, ""Not a single frame is distinctive, or shows that a major filmmaker is behind the camera.",some,A,A,True,row_7,A,True,A,True,"Suganth also felt many of the actors like Chowdhury were miscast and criticised the lack of onscreen chemistry between her and Dhruv. He concluded that Dhruv looks ""sure-footed in some scenes and like a novice in some"". Baradwaj Rangan of Film Companion wrote, ""Not a single frame is distinctive, or shows that a major filmmaker is behind the camera.",1.0,,,,1,parallel,,1
28,"Baldwin responded that she identifies as white, and her ethnic background includes ""many, many, many things"". She said she spent ""some"" of her childhood in Spain and ""some"" in Massachusetts, but had never been enrolled in school in Spain, only spending time there during family holidays.",Repetition,"Baldwin responded that she identifies as white, and her ethnic background includes ""many, many, many things"". She said she spent ""some"" of her childhood in Spain and ""some"" in Massachusetts, but had never been enrolled in school in Spain, only spending time there during family holidays.",some,A,A,True,row_7,A,True,A,True,"Baldwin responded that she identifies as white, and her ethnic background includes ""many, many, many things"". She said she spent ""some"" of her childhood in Spain and ""some"" in Massachusetts, but had never been enrolled in school in Spain, only spending time there during family holidays.",1.0,,,,1,parallel,,1
29,"When INAH was questioned on the lack of maintenance, they responded that in Mexico there are more than 10 thousand archaeological sites, and some ""are of great relevance"". The petroglyphs found in this area of Xochimilco are Aztec and were venerated deities; are stars representations, constellations and figures apparently associated with fertility cult.",Clausal or VP Coordination,"When INAH was questioned on the lack of maintenance, they responded that in Mexico there are more than 10 thousand archaeological sites, and some ""are of great relevance"". The petroglyphs found in this area of Xochimilco are Aztec and were venerated deities; are stars representations, constellations and figures apparently associated with fertility cult.",some,A,A,True,row_7,A,True,A,True,"When INAH was questioned on the lack of maintenance, they responded that in Mexico there are more than 10 thousand archaeological sites, and some ""are of great relevance"". The petroglyphs found in this area of Xochimilco are Aztec and were venerated deities; are stars representations, constellations and figures apparently associated with fertility cult.",1.0,,,,1,parallel,,1
30,"In what is regarded as one of the best and most entertaining finals of its era, the Cork and Mayo All-Ireland decider provided ""great fun at a time when football badly needed some"". Cork entered the game hoping to avoid the unwanted accolade of becoming the first team in almost fifty years to lose three successive All-Ireland finals.",non-parallelism,"In what is regarded as one of the best and most entertaining finals of its era, the Cork and Mayo All-Ireland decider provided ""great fun at a time when football badly needed some"". Cork entered the game hoping to avoid the unwanted accolade of becoming the first team in almost fifty years to lose three successive All-Ireland finals.",some,A,A,True,row_7,A,True,B,False,"In what is regarded as one of the best and most entertaining finals of its era, the Cork and Mayo All-Ireland decider provided ""great fun at a time when football badly needed some"". Cork entered the game hoping to avoid the unwanted accolade of becoming the first team in almost fifty years to lose three successive All-Ireland finals.",0.6666666666666666,,,,1,non-parallem,,1
31,"A manga adaptation was published by TO Books and follows similar format as the novels. Part 1, subtitled If there aren't any books, I'll just have to make some! (Êú¨„Åå„Å™„ÅÑ„Å™„Çâ‰Ωú„Çå„Å∞„ÅÑ„ÅÑ!, Hon ga nainara tsukureba ƒ´!), was illustrated by Suzuka, serialized in Comic Corona from October 2015 to July 2018, and was compiled into a total of seven volumes. Suzuka continued to illustrate Part 2 subtitled I'll even join the temple to read books! (Êú¨„ÅÆ„Åü„ÇÅ„Å™„ÇâÂ∑´Â•≥„Å´„Å™„ÇãÔºÅ, Hon no tamenara miko ni naru!) which began serialization in Comic Corona on September 24, 2018 and currently has a total of ten volumes.",Contrasting,"A manga adaptation was published by TO Books and follows similar format as the novels. Part 1, subtitled If there aren't any books, I'll just have to make some! (本がないなら作ればいい!, Hon ga nainara tsukureba ī!), was illustrated by Suzuka, serialized in Comic Corona from October 2015 to July 2018, and was compiled into a total of seven volumes. Suzuka continued to illustrate Part 2 subtitled I'll even join the temple to read books! (本のためなら巫女になる！, Hon no tamenara miko ni naru!) which began serialization in Comic Corona on September 24, 2018 and currently has a total of ten volumes.",some,A,A,True,row_7,A,True,A,True,"A manga adaptation was published by TO Books and follows similar format as the novels. Part 1, subtitled If there aren't any books, I'll just have to make some! (本がないなら作ればいい!, Hon ga nainara tsukureba ī!), was illustrated by Suzuka, serialized in Comic Corona from October 2015 to July 2018, and was compiled into a total of seven volumes. Suzuka continued to illustrate Part 2 subtitled I'll even join the temple to read books! (本のためなら巫女になる！, Hon no tamenara miko ni naru!) which began serialization in Comic Corona on September 24, 2018 and currently has a total of ten volumes.",1.0,31.0,4.75,4.666666666666667,0,parallel,-0.08333333333333304,0
32,"Coedydd Aber is situated in an area of scenic beauty. The steep sided wooded valley, Nant Aber Garth Celyn, leads to the foothill of Y Carneddau. The river has the steepest fall of any in Wales and England. There is a wide variety of habitats in the valley including a diversity of woodlands, open farmland and scrub.",Subset,"Coedydd Aber is situated in an area of scenic beauty. The steep sided wooded valley, Nant Aber Garth Celyn, leads to the foothill of Y Carneddau. The river has the steepest fall of any in Wales and England. There is a wide variety of habitats in the valley including a diversity of woodlands, open farmland and scrub.",any,A,A,True,row_7,A,True,B,False,"Coedydd Aber is situated in an area of scenic beauty. The steep sided wooded valley, Nant Aber Garth Celyn, leads to the foothill of Y Carneddau. The river has the steepest fall of any in Wales and England. There is a wide variety of habitats in the valley including a diversity of woodlands, open farmland and scrub.",0.5,32.0,4.166666666666667,7.0,0,parallel,2.833333333333333,1
33,"In late 1898 Karim's purchase of a parcel of land adjacent to his earlier grant was finalised; he had become a wealthy man. Reid claimed in his diary that he had challenged Karim over his financial dealings: ""You have told the Queen that in India no receipts are given for money, and therefore you ought not to give any to Sir F Edwards [Keeper of the Privy Purse].",Clausal or VP Coordination,"In late 1898 Karim's purchase of a parcel of land adjacent to his earlier grant was finalised; he had become a wealthy man. Reid claimed in his diary that he had challenged Karim over his financial dealings: ""You have told the Queen that in India no receipts are given for money, and therefore you ought not to give any to Sir F Edwards [Keeper of the Privy Purse].",any,A,A,True,row_7,A,True,A,True,"In late 1898 Karim's purchase of a parcel of land adjacent to his earlier grant was finalised; he had become a wealthy man. Reid claimed in his diary that he had challenged Karim over his financial dealings: ""You have told the Queen that in India no receipts are given for money, and therefore you ought not to give any to Sir F Edwards [Keeper of the Privy Purse].",0.5,33.0,6.0,4.666666666666667,0,parallel,-1.333333333333333,0
34,"Fields had begun reissuing the author's earlier series for children titled Grandfather's Child, originally published by Elizabeth Palmer Peabody and now renamed True Stories from History and Biography, and was also planning a new edition of Twice-Told Tales. The entirety of the collection was written between June and mid-July 1851. He sent the final manuscript to Fields on July 15 and wrote: ""I am going to begin to enjoy the summer now and to read foolish novels, if I can get any, and smoke cigars and think of nothing at all ‚Äî which is equivalent to thinking of all manner of things.""",non-parallelism,"Fields had begun reissuing the author's earlier series for children titled Grandfather's Child, originally published by Elizabeth Palmer Peabody and now renamed True Stories from History and Biography, and was also planning a new edition of Twice-Told Tales. The entirety of the collection was written between June and mid-July 1851. He sent the final manuscript to Fields on July 15 and wrote: ""I am going to begin to enjoy the summer now and to read foolish novels, if I can get any, and smoke cigars and think of nothing at all — which is equivalent to thinking of all manner of things.""",any,A,A,True,row_7,A,True,A,True,"Fields had begun reissuing the author's earlier series for children titled Grandfather's Child, originally published by Elizabeth Palmer Peabody and now renamed True Stories from History and Biography, and was also planning a new edition of Twice-Told Tales. The entirety of the collection was written between June and mid-July 1851. He sent the final manuscript to Fields on July 15 and wrote: ""I am going to begin to enjoy the summer now and to read foolish novels, if I can get any, and smoke cigars and think of nothing at all — which is equivalent to thinking of all manner of things.""",1.0,,,,1,non-parallem,,1
35,"Howells describes the people of the society as being selfish and materialistic. At this time in America money and power was causing constant struggle for those of the working class. In Altruria, money is not a problem because there is not any. Every man is equal. Every man works. It seems to be a good way of life, however, it does not seem very realistic.",Contrasting,"Howells describes the people of the society as being selfish and materialistic. At this time in America money and power was causing constant struggle for those of the working class. In Altruria, money is not a problem because there is not any. Every man is equal. Every man works. It seems to be a good way of life, however, it does not seem very realistic.",any,A,A,True,row_7,A,True,A,True,"Howells describes the people of the society as being selfish and materialistic. At this time in America money and power was causing constant struggle for those of the working class. In Altruria, money is not a problem because there is not any. Every man is equal. Every man works. It seems to be a good way of life, however, it does not seem very realistic.",1.0,35.0,3.5,4.5,0,parallel,1.0,1
36,"During the war he stays in America. When he returns, he marries Victoria. During their honeymoon, without Barker, Henry runs into one difficulty after another, traveling third class by train and ship to France and staying in a small room in the George V without making arrangements. In the end a flower girl who knew him sarcastically gives him flowers for his wife when she realises that he has no money and forgot to bring any.",non-parallelism,"During the war he stays in America. When he returns, he marries Victoria. During their honeymoon, without Barker, Henry runs into one difficulty after another, traveling third class by train and ship to France and staying in a small room in the George V without making arrangements. In the end a flower girl who knew him sarcastically gives him flowers for his wife when she realises that he has no money and forgot to bring any.",any,A,A,True,row_7,A,True,A,True,"During the war he stays in America. When he returns, he marries Victoria. During their honeymoon, without Barker, Henry runs into one difficulty after another, traveling third class by train and ship to France and staying in a small room in the George V without making arrangements. In the end a flower girl who knew him sarcastically gives him flowers for his wife when she realises that he has no money and forgot to bring any.",0.6666666666666666,36.0,3.5,2.333333333333333,0,non-parallem,-1.166666666666667,0
